originalType,mappedType,mappedConfidence,deltaToSecondBest
http://dbpedia.org/resource/Von_(disambiguation),http://dbpedia.org/ontology/Place, 0.25581396,0.11627907
http://de.dbpedia.org/resource/Streitkräfte,http://dbpedia.org/ontology/WrittenWork, 0.18181819,0.0
http://dbpedia.org/resource/Sobriquet,http://dbpedia.org/ontology/Quote, 0.23809524,0.09523809
http://dbpedia.org/resource/Jamaica,http://dbpedia.org/ontology/Language, 0.33333334,0.0
http://de.dbpedia.org/resource/PR-Agentur,http://dbpedia.org/ontology/Company, 0.2857143,0.14285715
http://de.dbpedia.org/resource/Stamm,http://dbpedia.org/ontology/Quote, 0.20512821,0.07692307
http://de.dbpedia.org/resource/Finanzierungsinstrument,http://dbpedia.org/ontology/Quote, 0.16666667,0.0
http://de.dbpedia.org/resource/Umwandlung,http://dbpedia.org/ontology/Place, 0.2857143,0.0
http://dbpedia.org/resource/Skull,http://dbpedia.org/ontology/Place, 0.5,0.0
http://dbpedia.org/resource/Johannesburg,http://dbpedia.org/ontology/Place, 0.25,0.125
http://de.dbpedia.org/resource/Namens,http://dbpedia.org/ontology/Person, 0.1764706,0.05882354
http://de.dbpedia.org/resource/Erfolg,http://dbpedia.org/ontology/Person, 0.1904762,0.0952381
http://dbpedia.org/resource/Plastic,http://dbpedia.org/ontology/Quote, 0.16666667,0.0
http://de.dbpedia.org/resource/Orgelbaumeister,http://dbpedia.org/ontology/Person, 0.28767124,0.09589042
http://dbpedia.org/resource/Field_army,http://dbpedia.org/ontology/WrittenWork, 0.18181819,0.0
http://dbpedia.org/resource/Business_administration,http://dbpedia.org/ontology/Organisation, 0.2,0.0
http://de.dbpedia.org/resource/Models,http://dbpedia.org/ontology/Wrestler, 0.2,0.0
http://de.dbpedia.org/resource/Damenstift,http://dbpedia.org/ontology/Place, 0.25,0.0
http://dbpedia.org/resource/South_Tyrol,http://dbpedia.org/ontology/Person, 0.2173913,0.13043478
http://de.dbpedia.org/resource/Footballspieler,http://dbpedia.org/ontology/Person, 0.26978418,0.11870505
http://de.dbpedia.org/resource/Autorengruppe,http://dbpedia.org/ontology/Quote, 0.25,0.0
