originalType,mappedType,mappedConfidence,deltaToSecondBest
http://dbpedia.org/resource/Konami,http://dbpedia.org/ontology/VideoGame, 0.14285715,0.0
http://dbpedia.org/resource/Q,http://dbpedia.org/ontology/Work, 0.15625,0.0625
http://dbpedia.org/resource/Sheehan,http://dbpedia.org/ontology/Person, 0.2857143,0.14285715
http://dbpedia.org/resource/Kramer,http://dbpedia.org/ontology/Person, 0.2857143,0.14285715
http://dbpedia.org/resource/Clay,http://dbpedia.org/ontology/Person, 0.26666668,0.06666668
http://dbpedia.org/resource/Seminary,http://dbpedia.org/ontology/University, 0.1875,0.125
http://dbpedia.org/resource/McEvoy,http://dbpedia.org/ontology/Album, 0.22222222,0.11111111
http://dbpedia.org/resource/Subclasses,http://dbpedia.org/ontology/Bacteria, 0.22222222,0.11111111
http://dbpedia.org/resource/Crane,http://dbpedia.org/ontology/Animal, 0.21428572,0.08928572
http://dbpedia.org/resource/Sixteenth,http://dbpedia.org/ontology/Work, 0.18487395,0.09243697
http://dbpedia.org/resource/Subgenera,http://dbpedia.org/ontology/Eukaryote, 0.2857143,0.14285715
http://dbpedia.org/resource/Fifteen,http://dbpedia.org/ontology/OlympicEvent, 0.14772727,0.102272723
http://dbpedia.org/resource/Thirty,http://dbpedia.org/ontology/MilitaryConflict, 0.2,0.0
http://dbpedia.org/resource/Gondwanan,http://dbpedia.org/ontology/Eukaryote, 0.25,0.125
http://dbpedia.org/resource/Residence,http://dbpedia.org/ontology/Building, 0.25305623,0.149755495
http://dbpedia.org/resource/Code,http://dbpedia.org/ontology/Work, 0.1590909,0.04545453
http://dbpedia.org/resource/Jamaica,http://dbpedia.org/ontology/Agent, 0.3125,0.125
http://dbpedia.org/resource/Bowers,http://dbpedia.org/ontology/Artist, 0.2,0.1
http://dbpedia.org/resource/Bhajan,http://dbpedia.org/ontology/Song, 0.22222222,0.11111111
http://dbpedia.org/resource/Imaging,http://dbpedia.org/ontology/Company, 0.2,0.0
http://dbpedia.org/resource/Logan,http://dbpedia.org/ontology/EurovisionSongContestEntry, 0.14285715,0.0
http://dbpedia.org/resource/Ong,http://dbpedia.org/ontology/Person, 0.2,0.0
http://dbpedia.org/resource/Blow,http://dbpedia.org/ontology/Insect, 0.16,0.04
http://dbpedia.org/resource/Pain,http://dbpedia.org/ontology/Disease, 0.2195122,0.07317074
http://dbpedia.org/resource/Alert,http://dbpedia.org/ontology/MilitaryConflict, 0.2,0.0
http://dbpedia.org/resource/Taipan,http://dbpedia.org/ontology/Person, 0.2857143,0.14285715
http://dbpedia.org/resource/Headset,http://dbpedia.org/ontology/Species, 0.33333334,0.0
http://dbpedia.org/resource/Whitley,http://dbpedia.org/ontology/Album, 0.125,0.0
http://dbpedia.org/resource/Focus,http://dbpedia.org/ontology/Person, 0.23076923,0.07692307
http://dbpedia.org/resource/Skull,http://dbpedia.org/ontology/AnatomicalStructure, 0.25,0.0
http://dbpedia.org/resource/Norton,http://dbpedia.org/ontology/Person, 0.22222222,0.11111111
http://dbpedia.org/resource/Lucero,http://dbpedia.org/ontology/RecordLabel, 0.14285715,0.0
http://dbpedia.org/resource/States,http://dbpedia.org/ontology/PopulatedPlace, 0.28361857,0.14425427
http://dbpedia.org/resource/Silk,http://dbpedia.org/ontology/Building, 0.25,0.125
http://dbpedia.org/resource/Laine,http://dbpedia.org/ontology/Album, 0.14285715,0.0
http://dbpedia.org/resource/Examination,http://dbpedia.org/ontology/Book, 0.16666667,0.0
http://dbpedia.org/resource/Sanders,http://dbpedia.org/ontology/Person, 0.25,0.125
http://dbpedia.org/resource/Iwata,http://dbpedia.org/ontology/SoccerClubSeason, 0.2,0.1
http://dbpedia.org/resource/Lights,http://dbpedia.org/ontology/Lighthouse, 0.18181819,0.0909091
http://dbpedia.org/resource/Kinsella,http://dbpedia.org/ontology/GolfPlayer, 0.14285715,0.0
http://dbpedia.org/resource/Assemblage,http://dbpedia.org/ontology/Insect, 0.125,0.041666664
http://dbpedia.org/resource/Bermuda,http://dbpedia.org/ontology/Company, 0.25,0.125
http://dbpedia.org/resource/Canoe,http://dbpedia.org/ontology/HistoricPlace, 0.25,0.0
http://dbpedia.org/resource/Kondo,http://dbpedia.org/ontology/Athlete, 0.22222222,0.11111111
http://dbpedia.org/resource/Guinean,http://dbpedia.org/ontology/SoccerPlayer, 0.121212125,0.030303035
http://dbpedia.org/resource/Sources,http://dbpedia.org/ontology/Nerve, 0.18181819,0.0909091
http://dbpedia.org/resource/Banks,http://dbpedia.org/ontology/Bank, 0.1657754,0.14973262
http://dbpedia.org/resource/Load,http://dbpedia.org/ontology/PowerStation, 0.18181819,0.142857152
http://dbpedia.org/resource/Manipulation,http://dbpedia.org/ontology/ProgrammingLanguage, 0.16666667,0.0
http://dbpedia.org/resource/Taos,http://dbpedia.org/ontology/Place, 0.22222222,0.11111111
http://dbpedia.org/resource/Species,http://dbpedia.org/ontology/Eukaryote, 0.27958488,0.12470009
http://dbpedia.org/resource/Category,http://dbpedia.org/ontology/Award, 0.096618354,0.019323669
http://dbpedia.org/resource/Pictures,http://dbpedia.org/ontology/Film, 0.3,0.1
http://dbpedia.org/resource/Commuter,http://dbpedia.org/ontology/PublicTransitSystem, 0.16666667,0.083333334
http://dbpedia.org/resource/WHP,http://dbpedia.org/ontology/Athlete, 0.25,0.125
http://dbpedia.org/resource/Shipyards,http://dbpedia.org/ontology/Company, 0.2,0.0
http://dbpedia.org/resource/Liberian,http://dbpedia.org/ontology/SoccerPlayer, 0.17857143,0.142857143
http://dbpedia.org/resource/Lump,http://dbpedia.org/ontology/Disease, 0.33333334,0.0
http://dbpedia.org/resource/Puppet,http://dbpedia.org/ontology/FictionalCharacter, 0.13793103,0.06896551
http://dbpedia.org/resource/Planning,http://dbpedia.org/ontology/Company, 0.17948718,0.05128204
http://dbpedia.org/resource/Southern,http://dbpedia.org/ontology/AmericanFootballPlayer, 0.09677419,0.064516126
http://dbpedia.org/resource/Herbivore,http://dbpedia.org/ontology/Animal, 0.25,0.125
http://dbpedia.org/resource/Flood,http://dbpedia.org/ontology/SoccerPlayer, 0.14285715,0.071428575
http://dbpedia.org/resource/Memphis,http://dbpedia.org/ontology/MusicalArtist, 0.11363637,0.02272728
http://dbpedia.org/resource/Multicultural,http://dbpedia.org/ontology/School, 0.11764706,0.05882353
http://dbpedia.org/resource/Suzuki,http://dbpedia.org/ontology/GolfPlayer, 0.08,0.0
http://dbpedia.org/resource/Anne,http://dbpedia.org/ontology/Building, 0.1764706,0.05882354
http://dbpedia.org/resource/East,http://dbpedia.org/ontology/Place, 0.104477614,0.014925374
http://dbpedia.org/resource/Counterpart,http://dbpedia.org/ontology/Work, 0.18421052,0.13157894
http://dbpedia.org/resource/Opera,http://dbpedia.org/ontology/TelevisionShow, 0.25820762,0.12954746
