originalType,mappedType,mappedConfidence,deltaToSecondBest
http://nl.dbpedia.org/resource/Onderzoeksjournalist,http://dbpedia.org/ontology/Journalist, 0.25,0.0
http://dbpedia.org/resource/Division_(mathematics),http://dbpedia.org/ontology/Film, 0.18181819,0.0909091
http://nl.dbpedia.org/resource/Tv-presentator,http://dbpedia.org/ontology/Person, 0.3043478,0.13043475
http://dbpedia.org/resource/Public_bathing,http://dbpedia.org/ontology/Building, 0.25,0.125
http://nl.dbpedia.org/resource/Verkeersbrug,http://dbpedia.org/ontology/Bridge, 0.16483517,0.07692308
http://nl.dbpedia.org/resource/Flatgebouw,http://dbpedia.org/ontology/Building, 0.2,0.1
http://dbpedia.org/resource/Kraj,http://dbpedia.org/ontology/Country, 0.2,0.13333333
http://nl.dbpedia.org/resource/Underground,http://dbpedia.org/ontology/Agent, 0.2,0.1
http://dbpedia.org/resource/Jamaica,http://dbpedia.org/ontology/Athlete, 0.16666667,0.0
http://nl.dbpedia.org/resource/Onderwijsinstelling,http://dbpedia.org/ontology/EducationalInstitution, 0.25,0.125
http://nl.dbpedia.org/resource/Communistische,http://dbpedia.org/ontology/Country, 0.16666667,0.0
http://nl.dbpedia.org/resource/Schoenen,http://dbpedia.org/ontology/Event, 0.25,0.0
http://dbpedia.org/resource/Habitat,http://dbpedia.org/ontology/Species, 0.2857143,0.14285715
http://dbpedia.org/resource/Court_painter,http://dbpedia.org/ontology/Artist, 0.22222222,0.11111111
http://nl.dbpedia.org/resource/Eiwit,http://dbpedia.org/ontology/Protein, 0.27272728,0.09090909
http://nl.dbpedia.org/resource/Doel,http://dbpedia.org/ontology/Event, 0.33333334,0.0
http://nl.dbpedia.org/resource/Animatiefilms,http://dbpedia.org/ontology/Imdb, 0.2,0.0
http://dbpedia.org/resource/Oeuvre,http://dbpedia.org/ontology/Writer, 0.15,0.05
http://dbpedia.org/resource/Inlet,http://dbpedia.org/ontology/Sea, 0.1875,0.125
http://nl.dbpedia.org/resource/Historica,http://dbpedia.org/ontology/Writer, 0.18421052,0.13157894
http://dbpedia.org/resource/Metro_station,http://dbpedia.org/ontology/Station, 0.1984893,0.09106169
http://nl.dbpedia.org/resource/Waterweg,http://dbpedia.org/ontology/Canal, 0.13513513,0.09459459
http://dbpedia.org/resource/Kat,http://dbpedia.org/ontology/Work, 0.22222222,0.11111111
http://nl.dbpedia.org/resource/Stroming,http://dbpedia.org/ontology/MusicGenre, 0.11764706,0.0
http://dbpedia.org/resource/Kinshasa,http://dbpedia.org/ontology/SoccerPlayer, 0.15384616,0.07692308
http://nl.dbpedia.org/resource/Diep,http://dbpedia.org/ontology/Lake, 0.1764706,0.11764707
http://nl.dbpedia.org/resource/Aantal,http://dbpedia.org/ontology/PopulatedPlace, 0.14893617,0.09574468
http://dbpedia.org/resource/Morocco,http://dbpedia.org/ontology/Dog, 0.125,0.0
http://nl.dbpedia.org/resource/Leraren,http://dbpedia.org/ontology/Artist, 0.22222222,0.11111111
http://dbpedia.org/resource/Knowledge,http://dbpedia.org/ontology/Artist, 0.2,0.1
http://dbpedia.org/resource/Distance,http://dbpedia.org/ontology/Species, 0.16666667,0.03333333
http://dbpedia.org/resource/Campus,http://dbpedia.org/ontology/University, 0.16666667,0.0
http://nl.dbpedia.org/resource/Overheidsinstantie,http://dbpedia.org/ontology/Organisation, 0.33333334,0.0
http://dbpedia.org/resource/Platform,http://dbpedia.org/ontology/Software, 0.19444445,0.111111114
http://nl.dbpedia.org/resource/Vriend,http://dbpedia.org/ontology/Person, 0.19642857,0.08928571
http://dbpedia.org/resource/April,http://dbpedia.org/ontology/Agent, 0.16972478,0.08256882
http://dbpedia.org/resource/Marketplace,http://dbpedia.org/ontology/PopulatedPlace, 0.22222222,0.11111111
http://nl.dbpedia.org/resource/Schoonspringer,http://dbpedia.org/ontology/Athlete, 0.27659574,0.14893617
http://dbpedia.org/resource/Bas,http://dbpedia.org/ontology/MusicalArtist, 0.15384616,0.07692308
http://dbpedia.org/resource/House_(disambiguation),http://dbpedia.org/ontology/Agent, 0.25,0.1
http://dbpedia.org/resource/Specialist,http://dbpedia.org/ontology/Athlete, 0.16666667,0.083333334
